wohnflaeche;grundstueckflaeche;anz_zimmer;kategorie;keller;baujahr;energieeffizienz;zustand;kontextWert;price1;price2;priceDelta
-9.0;76.0;0.0;0;-1;-20;0;0;-50;159000;295000;-136000
0.0;-280.0;1.0;1;-2;0;-1;2;0;159000;359000;-200000
-11.22;267.0;0.0;0;1;-86;0;0;0;159000;174000;-15000
-11.22;267.0;0.0;0;1;-86;0;0;0;159000;149000;10000
-10.22;-93.0;-1.0;1;-1;-31;0;0;50;159000;189000;-30000
-2.88;90.0;0.0;0;1;-9;-1;0;-50;159500;299000;-139500
-1.07;-8.0;0.0;0;-1;-12;1;0;100;159500;299900;-140400
-2.88;-142.0;0.0;0;0;-12;0;0;100;159500;245000;-85500
20.0;350.0;3.0;1;-2;0;-1;0;-100;160000;79500;80500
20.0;350.0;3.0;1;-2;0;-1;0;-100;160000;79500;80500
20.0;-259.0;1.0;0;-2;2;-1;3;-100;160000;179000;-19000
6.0;-192.0;0.0;0;-2;12;0;0;50;160000;265000;-105000
5.0;54.0;0.0;1;-1;-9;-1;0;100;160000;414500;-254500
0.0;191.0;-1.0;0;-1;12;1;0;-100;160000;199000;-39000
23.6;-179.0;2.0;1;0;-16;0;0;0;160000;70000;90000
6.0;-315.0;1.5;1;1;-8;2;0;-150;160000;119000;41000
16.0;23.0;1.0;1;1;-36;2;0;0;160000;115000;45000
2.6;80.0;0.0;0;-1;0;0;-2;0;162000;70000;92000
-5.0;-318.0;-1.0;1;0;-2;0;0;-50;162000;130000;32000
-10.0;-396.0;0.0;1;-1;-1;1;0;0;162000;295000;-133000
-4.0;-149.0;-1.0;1;0;1;0;0;50;165000;195000;-30000
6.0;-230.0;0.0;1;-1;-3;0;0;50;165000;158000;7000
2.19;-196.0;-2.0;1;0;2;-1;0;50;165000;250000;-85000
-4.82;-115.0;-1.0;0;-1;2;0;0;-100;165000;180000;-15000
-5.95;57.0;-2.0;0;-1;-13;1;0;50;165000;269000;-104000
0.0;282.0;-1.0;1;-2;3;1;0;-50;165000;199000;-34000
24.57;25.0;2.0;0;-1;-6;1;0;100;167000;299000;-132000
-6.0;-239.0;0.0;1;-1;-26;0;0;50;167000;375000;-208000
-10.57;-293.0;2.0;0;-1;-95;0;0;0;167000;449000;-282000
