wohnflaeche;grundstueckflaeche;zimmer;category;basement;year;efficiency_rating;condition;floors;terrace;type;price;id;plz;street;city;district;kontextlabel;kontextWert
90;498;5;doppelhaushälfte;2;1942;2.8;1.2;1.9;Terasse;Massivhaus;319000;32434055;21339;Straße nicht freigegeben;Lüneburg;Goseburg-Zeltberg;10;3950
138;1136;5;einfamilienhaus;2;1989;3;1;1;Terrasse. Loggia ;Massivhaus;729000;55594153;21218;Straße nicht freigegeben;Seevetal;Emmelndorf;11;4250
250;900;9;mehrfamilienhaus;2;1984;2.8;1;1.9;Terrasse. Wintergarten ;Massivhaus;799000;42536548;21218;Straße nicht freigegeben;Seevetal;Lindhorst;11;4250
114;250;4;einfamilienhaus;1.19;1974;2;3;1.9;Terrasse. Garten. Gartenmitbenutzung ;Massivhaus;350000;39404852;21218;Eichendorffstrasse 35;Seevetal;Hittfeld;11;4250
113;193;4.5;einfamilienhaus;1.19;1983;2;3;1.9;Terasse;Massivhaus;359000;39423645;21218;Straße nicht freigegeben;SeevetalHittfeld;;11;4250
60;2500;2;einfamilienhaus;1.19;1975;2.8;1.2;1.9;Terasse;Massivhaus;249000;18379309;21218;Straße nicht freigegeben;Seevetal;Lindhorst;11;4250
180;1340;6;einfamilienhaus;2;1980;1;1;1.9;Terrasse. Balkon ;Massivhaus;749000;47598938;21218;Straße nicht freigegeben;Seevetal;Emmelndorf;11;4250
228;901;7;einfamilienhaus;1.19;2001;4;1;1.9;Terasse;Massivhaus;949000;88221229;21218;Straße nicht freigegeben;SeevetalHelmstorf;;11;4250
190;1028;6;mehrfamilienhaus;2;1969;3;1;1.9;Terrasse. Garten ;Massivhaus;599900;73380859;21218;Straße nicht freigegeben;Seevetal;Helmstorf;11;4250
140;250;6;einfamilienhaus;0;2022;2.8;1.2;2;Terrasse. Garten. Balkon ;KfW 55;839000;26067773;21218;Jesteburger Str. 17;Seevetal;Hittfeld;11;4250
381;1041;8;einfamilienhaus;1.19;1968;2.8;1.2;1.9;Terrasse. Garten. Balkon. Wintergarten ;Massivhaus;995000;54167488;21218;Straße nicht freigegeben;Seevetal;Helmstorf;11;4250
101.12;648;3.5;einfamilienhaus;1.19;1954;2.8;1;1.9;Terrasse. Garten ;Massivhaus;495000;72104452;21218;Straße nicht freigegeben;Seevetal;Emmelndorf;11;4250
115;408;5;doppelhaushälfte;2;1970;2.8;0;2;Terrasse. Garten ;Massivhaus;515000;61478715;21218;Straße nicht freigegeben;Seevetal;Hittfeld;11;4250
103.5;251;3.5;einfamilienhaus;2;1971;1;1;1.9;Terrasse ;Massivhaus;349000;88540894;21218;Straße nicht freigegeben;Seevetal;Hittfeld;11;4250
181;1001;6;einfamilienhaus;2;1996;4;1;1.9;Terasse;Massivhaus;925000;67210006;21218;Straße nicht freigegeben;SeevetalWoxdorf;Metzendorf;11;4250
250;1181;8;mehrfamilienhaus;2;1986;2.8;1.2;2;Terrasse. Garten ;Massivhaus;830000;81784514;21218;Straße nicht freigegeben;Seevetal;Woxdorf;11;4250
113;1760;6.3;einfamilienhaus;1.19;1975;2.8;1.2;1.9;Terasse;Massivhaus;61000;26346385;37431;Straße nicht freigegeben;BadLauterberg;;5;1050
415;684;10;mehrfamilienhaus;1.19;1930;2;1.2;1.9;Terasse;Massivhaus;599000;64740932;49565;Straße nicht freigegeben;Bramsche;;6;2300
364;42549;8;einfamilienhaus;0;1919;3;0;1.9;Terasse;Massivhaus;1750000;40732148;49565;Straße nicht freigegeben;Bramsche;Pente;6;2300
122;327;4;doppelhaushälfte;1.19;2022;2.8;1.2;1.9;Terasse;Massivhaus;350000;80913702;49565;Straße nicht freigegeben;BramscheHesepe;;6;2300
106;1229;3;bungalow;2;1970;0;1;1.9;Terrasse. Balkon ;Massivhaus;349900;88885426;49565;Straße nicht freigegeben;Bramsche;Lappenstuhl;6;2300
540;5700;14;einfamilienhaus;1.19;1920;2.8;0;1.9;Terasse;Massivhaus;1405000;70180039;49565;Straße nicht freigegeben;Bramsche;Achmer;6;2300
116;630;5;einfamilienhaus;1.19;2019;7;1.2;1.9;Terrasse. Garten ;Massivhaus;450000;54379862;49565;Straße nicht freigegeben;Bramsche;Ueffeln;6;2300
200;750;5;einfamilienhaus;0;2012;6;1.2;1.9;Terrasse. Garten ;Massivhaus;529000;19324588;49565;Straße nicht freigegeben;Bramsche;Engter;6;2300
212.3;923;9;mehrfamilienhaus;1;2013;2.8;0;1.9;Terrasse. Balkon ;Massivhaus;549000;35320507;49565;Straße nicht freigegeben;Bramsche;;6;2300
173;729;6;einfamilienhaus;0;1975;2.8;1.2;1.9;Terasse;Massivhaus;435000;46075052;49565;Straße nicht freigegeben;Bramsche;Achmer;6;2300
185;2168;6;einfamilienhaus;2;1991;2.8;1;2;Terrasse. Garten. Balkon ;Massivhaus;520000;65267668;49565;Straße nicht freigegeben;Bramsche;Schleptrup;6;2300
235;720;6;einfamilienhaus;0;2021;2.8;1.2;2;Terrasse. Garten ;Massivhaus;890000;61727338;49565;Straße nicht freigegeben;Bramsche;Ueffeln;6;2300
250;1200;8;mehrfamilienhaus;1;2005;2.8;1.2;1.9;Terrasse. Garten ;Massivhaus;695000;46453270;49565;Straße nicht freigegeben;Bramsche;Schleptrup;6;2300
132;78;6;einfamilienhaus;0;1671;2.8;1.2;1.9;Terasse;Massivhaus;275000;80355108;49565;Straße nicht freigegeben;Bramsche;;6;2300
