wohnflaeche;grundstueckflaeche;zimmer;category;basement;year;efficiency_rating;condition;floors;terrace;type;price;id;plz;street;city;district;kontextlabel;kontextWert
109;199;4;einfamilienhaus;1.19;2008;2.8;1;1.9;Terasse;Massivhaus;519000;38033624;30657;Straße nicht freigegeben;Hannover;Bothfeld;11;3650
120;460;4;bungalow;2;1971;2.8;1;1;Terrasse. Garten ;Massivhaus;575000;21294098;30657;Straße nicht freigegeben;Hannover;Bothfeld;11;3650
272;1432;5;einfamilienhaus;1.19;1975;2.8;1.2;1.9;Terasse;Massivhaus;1409000;46214130;30657;Straße nicht freigegeben;Hannover;Isernhagen-Süd;11;3650
109;248;4;einfamilienhaus;1.19;1988;6;1;1.9;Terasse;Holzhaus;329000;88626770;38444;Straße nicht freigegeben;WolfsburgWesthagen;;10;3100
207;2165;4;einfamilienhaus;1.19;2021;4;1.2;1.9;Terasse;Massivhaus;480000;73512722;21683;Straße nicht freigegeben;Stade;Bützfleth;9;3050
205;1400;6;einfamilienhaus;0;1997;6;1;1.9;Terrasse. Garten ;Massivhaus;469000;96034803;21763;Dorfstraße 60A;NeuenkirchenLandHadeln;;0;1850
116.46;804;5;doppelhaushälfte;1;1956;2.8;1.2;1.9;Terrasse. Garten ;Massivhaus;189000;60875886;26340;Straße nicht freigegeben;ZetelBohlenbergerfeld;;5;1650
81;205;4;einfamilienhaus;1.19;1975;2.8;1.2;1.9;Terasse;Massivhaus;153000;32732989;21680;Straße nicht freigegeben;Stade;;9;3050
175;600;7;einfamilienhaus;1.19;1960;2.8;1;1;Terrasse. Garten ;Massivhaus;415000;92717672;21680;Straße nicht freigegeben;Stade;;9;3050
141;554;4;doppelhaushälfte;2;1981;1;1.2;4;Terrasse. Garten ;Massivhaus;425000;35928654;28832;Straße nicht freigegeben;Achim;Uphusen;10;2950
97;272;4;einfamilienhaus;1.19;1965;2;1;1.9;Terasse;Massivhaus;279000;34362357;28832;Straße nicht freigegeben;Achim;;10;2950
110.43;1000;4;bungalow;0;1974;0;1;1.9;Terrasse. Garten ;Massivhaus;399000;51662343;28832;Straße nicht freigegeben;Achim;Badenermoor;10;2950
151.35;388;6;einfamilienhaus;2;1980;2.8;1;1.9;Terrasse. Balkon ;Massivhaus;435000;77230405;28832;Straße nicht freigegeben;Achim;;10;2950
155;1057;6.3;einfamilienhaus;1.19;1890;2.8;1.2;1.9;Terasse;Massivhaus;430000;75122923;28832;Straße nicht freigegeben;Achim;Baden;10;2950
105;120;4;einfamilienhaus;1.19;1993;4;1;1.9;Terasse;Massivhaus;315000;32981066;28832;Straße nicht freigegeben;Achim;Bierden;10;2950
152.24;729;8;einfamilienhaus;2;1974;6;1.2;1.9;Terrasse. Garten ;Massivhaus;529000;26536527;28832;Straße nicht freigegeben;Achim;;10;2950
250;1760;6.3;einfamilienhaus;1.19;1975;2.8;1.2;1.9;Terasse;Massivhaus;358000;20989353;37079;Straße nicht freigegeben;Göttingen;Elliehausen;10;3250
210;1050;9;einfamilienhaus;1.19;1863;3;1.2;1.9;Terasse;Holzhaus;339000;18071235;38268;Straße nicht freigegeben;Lengede;Broistedt;10;1700
733;7419;6.3;einfamilienhaus;2;1960;2.8;1.2;1.9;Terasse;Massivhaus;694800;43548730;37075;Straße nicht freigegeben;Göttingen;Weende;10;3300
98;1338;4;bungalow;1.19;2015;5;1.2;1.9;Terrasse. Garten. Gartenanteil ;Massivhaus;385000;75683684;31595;Straße nicht freigegeben;Steyerberg;;1;3100
136;673;4;bungalow;1.19;1994;5;1;1.9;Terasse;Massivhaus;399000;35347730;31303;Straße nicht freigegeben;Burgdorf;;6;3150
236;1000;6;einfamilienhaus;2;1966;2;3;1.9;Terrasse. Garten. Balkon ;Massivhaus;398000;31729707;31303;Straße nicht freigegeben;Burgdorf;Beinhorn;6;3150
422;1779;12;einfamilienhaus;1.19;1971;2.8;1.2;1.9;Terasse;Massivhaus;990000;64251396;31303;Straße nicht freigegeben;Burgdorf;;6;3150
165;562;8;einfamilienhaus;2;1966;2.8;1.2;1.9;Terrasse. Balkon ;Massivhaus;399000;72679192;31303;Straße nicht freigegeben;Burgdorf;Ramlingen-Ehlershausen;6;3150
117;1760;4;einfamilienhaus;1.19;2022;2.8;1.2;1.9;Terasse;Massivhaus;248550;97713729;31303;Ehlershäuser Weg;Burgdorf;Ramlingen-Ehlershausen;6;3150
124;1760;5;einfamilienhaus;1.19;2022;2.8;1.2;1.9;Terasse;Massivhaus;245060;17402807;31303;Ehlershäuser Weg;Burgdorf;Ramlingen-Ehlershausen;6;3150
190;763;8;einfamilienhaus;1;1954;0;1.2;1.9;Terrasse. Balkon ;Massivhaus;350000;88865251;31848;Straße nicht freigegeben;BadMünder;;6;1750
145;3304;6;einfamilienhaus;1.19;2001;4;1.2;1.9;Terrasse. Garten ;Massivhaus;365000;46611089;26802;Straße nicht freigegeben;Moormerland;Boekzetelerfehn;6;2100
91;280;4;doppelhaushälfte;0;2021;2.8;1.2;1.9;Terrasse ;Massivhaus;259000;26654805;26802;Straße nicht freigegeben;Moormerland;Warsingsfehn;6;2100
159;1264;7;einfamilienhaus;1.19;1975;2.8;1.2;1.9;Terasse;Massivhaus;165000;44457042;26802;Straße nicht freigegeben;Moormerland;Jheringsfehn;6;2100
150;676;7;einfamilienhaus;1;1984;2.8;0;1.9;Terrasse. Garten. Gartenmitbenutzung ;Massivhaus;389000;91027964;26802;Straße nicht freigegeben;Moormerland;Warsingsfehn;6;2100
120;250;4;bungalow;0;2021;2.8;1.2;1.9;Terrasse ;Massivhaus;295000;81689429;26802;Straße nicht freigegeben;Moormerland;Veenhusen;6;2100
124;1760;5;einfamilienhaus;1.19;2022;2.8;1.2;1.9;Terasse;Massivhaus;241260;53749962;29364;Apfelweg ;Langlingen;;1;1900
51;1760;3;einfamilienhaus;0;1974;2.8;1;1.9;Terrasse ;Massivhaus;185000;76616917;26736;Straße nicht freigegeben;Krummhörn;Eilsum;1;2000
300;766;10;mehrfamilienhaus;2;1981;2.8;1.2;2;Terrasse. Garten ;Massivhaus;525000;70570855;49419;Straße nicht freigegeben;Wagenfeld;;1;1800
131;889;5;einfamilienhaus;1.19;2022;2.8;1.2;1.9;Terasse;KfW 70;364700;36718192;26892;Straße nicht freigegeben;Wippingen;;1;2100
131;695;5;einfamilienhaus;1.19;2022;2.8;1.2;1.9;Terasse;KfW 70;366000;12804267;26892;Straße nicht freigegeben;Kluse;;1;2100
245;1533;8;einfamilienhaus;2;1980;2.8;1;2;Terrasse. Garten. Wintergarten ;Massivhaus;330000;58738182;31097;Straße nicht freigegeben;Harbarnsen;;1;1100
124;1760;5;einfamilienhaus;1.19;2022;2.8;1.2;1.9;Terasse;Massivhaus;234260;62647846;31195;Steinkamp ;Lamspringe;Irmenseul;1;1100
155;1760;6.3;doppelhaushälfte;1.19;1950;5;1.2;1.9;Terasse;Massivhaus;1275000;13474457;30161;Straße nicht freigegeben;Hannover;Oststadt;11;4150
430.29;1760;9;einfamilienhaus;1.19;1900;2.8;1.2;1.9;Terrasse ;Massivhaus;1620000;47278306;30161;Straße nicht freigegeben;Hannover;Oststadt;11;4150
294;601;9;mehrfamilienhaus;1.19;1975;2.8;1.2;1.9;Terasse;Massivhaus;310000;24175533;31241;Straße nicht freigegeben;Ilsede;Klein Ilsede;10;1900
250;500;10;einfamilienhaus;2;1920;0;1.2;1.9;Terrasse. Garten. Balkon ;Massivhaus;375000;79327321;31241;Straße nicht freigegeben;Ilsede;Groß Bülten;10;1900
117;1760;4;einfamilienhaus;1.19;2022;2.8;1.2;1.9;Terasse;Massivhaus;237270;34646055;31241;Dinkelstraße ;Ilsede;Groß Ilsede;10;1900
294;1760;6.3;einfamilienhaus;1.19;1975;2.8;1.2;1.9;Terasse;Massivhaus;310000;97444240;31241;Straße nicht freigegeben;Ilsede;Klein Ilsede;10;1900
188;633;6;einfamilienhaus;1.19;1910;0;3;1.9;Terasse;Massivhaus;239000;76565326;31246;Straße nicht freigegeben;Ilsede;Groß Ilsede;10;2050
145;1219;5;einfamilienhaus;1.19;1975;2.8;1.2;1.9;Terasse;Massivhaus;374000;78904854;49205;Straße nicht freigegeben;Hasbergen;;11;2650
95;316;4;einfamilienhaus;1.19;2023;2.8;1.2;1.9;Terasse;Massivhaus;280250;31162168;26349;Straße nicht freigegeben;Jade;Schweiburg;1;2350
107;614;4;einfamilienhaus;1.19;2023;2.8;1.2;1.9;Terasse;Massivhaus;319110;31253156;26349;Straße nicht freigegeben;Jade;Schweiburg;1;2350
110;220;5;doppelhaushälfte;1.19;2023;2.8;1.2;1.9;Terasse;Massivhaus;375000;76303678;26349;Straße nicht freigegeben;Jade;Jaderberg;1;2350
167;6452;5;einfamilienhaus;0;1870;0;1;1.9;Terrasse. Garten ;Massivhaus;269000;39007496;26349;Straße nicht freigegeben;Jade;Schweiburg;1;2350
101;614;3;einfamilienhaus;1.19;2023;2.8;1.2;1.9;Terasse;Massivhaus;316810;18694371;26349;Straße nicht freigegeben;Jade;Schweiburg;1;2350
164.12;1051;5;einfamilienhaus;1.19;1920;0;1.2;1.9;Terrasse ;Massivhaus;175000;13623864;27478;Straße nicht freigegeben;Cuxhaven;;5;2550
120;800;5;einfamilienhaus;0;1906;2.8;1.2;2;Terrasse ;Massivhaus;265000;96875201;27478;Straße nicht freigegeben;Cuxhaven;Lüdingworth;5;2550
98;354;4;einfamilienhaus;1.19;2016;2.8;1.2;1.9;Terasse;Massivhaus;280000;13495060;49424;Straße nicht freigegeben;Goldenstedt;Ellenstedt;1;1750
98;1760;6.3;einfamilienhaus;1.19;1975;2.8;1.2;1.9;Terasse;Massivhaus;280000;95969518;49424;Straße nicht freigegeben;Goldenstedt;Ellenstedt;1;1750
156;675;7;einfamilienhaus;1.19;1999;2.8;1;1.9;Terrasse ;Massivhaus;459000;73502837;29392;Straße nicht freigegeben;Wesendorf;;1;1950
262;960;5;einfamilienhaus;1.19;2020;2.8;1.2;1.9;Terasse;Massivhaus;748000;53707808;29392;Straße nicht freigegeben;Wesendorf;;1;1950
102;509;4;einfamilienhaus;1.19;2023;8;0;1.9;Terasse;Massivhaus;32182231;21723396;29392;Straße nicht freigegeben;Wesendorf;;1;1950
90;1760;4;einfamilienhaus;1.19;2022;2.8;1.2;2;Terasse;Massivhaus;198660;46498552;29392;Straße nicht freigegeben;Wesendorf;Westerholz;1;1950
128;520;5;einfamilienhaus;1.19;2022;2.8;1.2;1.9;Terasse;Massivhaus;234900;24416265;29392;Straße nicht freigegeben;Wesendorf;;1;1950
128;456;5;einfamilienhaus;1.19;1975;2.8;1.2;1;Terasse;Massivhaus;328890;38406876;29392;Straße nicht freigegeben;Wesendorf;;1;1950
113;456;5;einfamilienhaus;1.19;1975;2.8;1.2;2;Terasse;Massivhaus;295000;27425041;29392;Straße nicht freigegeben;Wesendorf;;1;1950
119;738;4;einfamilienhaus;1.19;2023;8;0;1.9;Terasse;Massivhaus;43403964;58007949;29392;Straße nicht freigegeben;Wesendorf;;1;1950
124;577;3;bungalow;1.19;2023;8;0;1.9;Terasse;Massivhaus;45694298;21401811;29392;Straße nicht freigegeben;Wesendorf;;1;1950
152;520;5;einfamilienhaus;1.19;2022;2.8;1.2;1.9;Terasse;Massivhaus;236250;62420273;29392;Straße nicht freigegeben;Wesendorf;;1;1950
121;817;4;einfamilienhaus;1.19;2023;8;0;1.9;Terasse;Massivhaus;43750374;51279195;29392;Straße nicht freigegeben;Wesendorf;;1;1950
211;1026;6;einfamilienhaus;1.19;2023;8;0;1.9;Terasse;Massivhaus;65903964;76787836;29392;Straße nicht freigegeben;Wesendorf;;1;1950
264;674;7;einfamilienhaus;0;1999;2.8;1;2;Terrasse. Garten ;Massivhaus;515000;28906785;29392;Straße nicht freigegeben;Wesendorf;;1;1950
397;980;10;einfamilienhaus;1.19;2017;6;1.2;1.9;Terrasse. Garten ;Massivhaus;695000;94742430;29392;Straße nicht freigegeben;Wesendorf;;1;1950
77;1130;4;doppelhaushälfte;2;1958;0;1;1.9;Terrasse. Garten ;Massivhaus;189000;14093812;29392;Straße nicht freigegeben;Wesendorf;;1;1950
482;848;18;mehrfamilienhaus;1.19;1994;2.8;1.2;3;Garten. Terrasse ;Massivhaus;790000;59538902;27753;Schönemoorer Strasse 49;Delmenhorst;Dwoberg/Ströhen;10;2650
180;1052;8;einfamilienhaus;1;1954;2.8;1;1.9;Terrasse. Garten ;Massivhaus;299000;61193745;27753;Straße nicht freigegeben;Delmenhorst;Dwoberg/Ströhen;10;2650
103.04;362;4;einfamilienhaus;0;1986;1;1;1.9;Terasse;Massivhaus;299000;36470125;27753;Straße nicht freigegeben;Delmenhorst;Dwoberg/Ströhen;10;2650
112.43;292;5;einfamilienhaus;1.19;2013;3;1.2;1.9;Terrasse ;Massivhaus;279000;39654979;27753;Straße nicht freigegeben;Delmenhorst;Deichhorst;10;2650
367;699;11;mehrfamilienhaus;1.19;1975;2.8;1.2;1.9;Terasse;Massivhaus;680000;89325211;27753;Straße nicht freigegeben;Delmenhorst;Dwoberg/Ströhen;10;2650
486;1289;6.3;einfamilienhaus;1.19;1961;2.8;1.2;1.9;Terasse;Massivhaus;480000;29831294;27753;Straße nicht freigegeben;Delmenhorst;Dwoberg/Ströhen;10;2650
486;1289;16;mehrfamilienhaus;1.19;1975;2.8;1.2;1.9;Terasse;Massivhaus;480000;16408186;27753;Straße nicht freigegeben;Delmenhorst;Dwoberg/Ströhen;10;2650
280;495;12;mehrfamilienhaus;1.19;1930;3;1.2;1.9;Terasse;Massivhaus;650000;27174606;49124;Straße nicht freigegeben;Georgsmarienhütte;Kloster Oesede;11;2350
115;288;4;doppelhaushälfte;1.19;1980;2;1.2;1.9;Terasse;Massivhaus;399000;89162948;26160;Straße nicht freigegeben;BadZwischenahn;Petersfehn I;6;2750
310;4258;10;mehrfamilienhaus;1.19;1950;1;1;1.9;Terrasse. Balkon ;Massivhaus;445000;24894424;26160;Straße nicht freigegeben;BadZwischenahn;Rostrup I;6;2750
259;976;7;einfamilienhaus;1.19;1975;2.8;1.2;1.9;Terasse;Massivhaus;485000;29976087;26160;Straße nicht freigegeben;BadZwischenahn;Ohrwege;6;2750
145;735;6;einfamilienhaus;2;1979;2.8;1;1.9;Terasse;Massivhaus;419000;96906215;26160;Straße nicht freigegeben;BadZwischenahnWehnen;;6;2750
220;1999;8;einfamilienhaus;1.19;1840;2.8;1.2;1.9;Terasse;Massivhaus;1150000;16396262;26160;Straße nicht freigegeben;BadZwischenahn;Bad Zwischenahn II;6;2750
94;589;3;doppelhaushälfte;1.19;1991;3;1;1.9;Garten. Balkon ;Massivhaus;387000;12852605;26160;Straße nicht freigegeben;BadZwischenahn;Ofen;6;2750
130;642;4;einfamilienhaus;1.19;2003;5;1.2;1.9;Terrasse. Garten. Balkon. Loggia ;Massivhaus;580000;76140717;26160;Straße nicht freigegeben;BadZwischenahn;Rostrup I;6;2750
275;5154;8;einfamilienhaus;1.19;1975;2.8;1.2;1.9;Terasse;Massivhaus;706000;78137561;26160;Straße nicht freigegeben;BadZwischenahn;Wehnen;6;2750
200;750;4;einfamilienhaus;1.19;1995;2;1;1.9;Terrasse. Garten. Gartenanteil ;Massivhaus;498000;78349977;21762;Medemland 4;OtterndorfNiederelbe;;0;2400
173.47;1000;10;einfamilienhaus;1.19;1980;2.8;1.2;2;Terrasse. Wintergarten ;Massivhaus;690000;89602044;21762;Straße nicht freigegeben;Otterndorf;Müggendorf;0;2400
120;311;5.5;einfamilienhaus;1.19;2022;2.8;1.2;1.9;Terasse;Massivhaus;542900;51296663;21224;Eichenstraße 24;RosengartenEckel;;11;4500
120;192;5.5;einfamilienhaus;1.19;2022;2.8;1.2;1.9;Terasse;Massivhaus;489900;87017991;21224;Eichenstraße 24;RosengartenEckel;;11;4500
141;363;5.5;einfamilienhaus;1.19;2022;2.8;1.2;1.9;Terasse;Massivhaus;587900;58156256;21224;Eichenstraße 24;RosengartenEckel;;11;4500
141;193;5.5;einfamilienhaus;1.19;2022;2.8;1.2;1.9;Terasse;Massivhaus;499900;93242585;21224;Eichenstraße 24;RosengartenEckel;;11;4500
95;141;4;einfamilienhaus;1;1950;2.8;0;2;Terasse;Massivhaus;570000;95768314;30519;Mergenthaler Weg 10b;Hannover;Seelhorst;11;4650
100;330;4;doppelhaushälfte;1.19;1997;2.8;1.2;1.9;Terrasse ;Massivhaus;339500;71762759;26506;Straße nicht freigegeben;NordenSüderneulandI;;4;2850
88;822;2.5;doppelhaushälfte;1.19;1977;0;1.2;1.9;Terrasse ;Massivhaus;219500;57509964;26506;Straße nicht freigegeben;Norden;;4;2850
192;1074;7;einfamilienhaus;1.19;1976;3;1.2;1.9;Terasse;Massivhaus;465000;47812617;29690;Straße nicht freigegeben;Buchholz;Aller;2;2550
126.38;299;5;einfamilienhaus;2;1976;4;3;1.9;Terrasse. Garten ;Massivhaus;320000;14979129;30827;Lange Straße 18A;Garbsen;Berenbostel;11;3350
64.5;1000;3;einfamilienhaus;0;1988;1;1.2;1;Terrasse. Garten ;Holzhaus;110000;89832073;21769;Straße nicht freigegeben;Hollnseth;Hollen;0;2150
133;1218;3;einfamilienhaus;1;1978;5;1.2;1.9;Terrasse. Garten ;Massivhaus;299000;97391783;21769;Straße nicht freigegeben;HollnsethHollen;;0;2150
127;1760;5;bungalow;1.19;2022;2.8;1.2;1.9;Terasse;Massivhaus;260490;60050587;31226;An der Simonstiftung;Peine;Kernstadt Süd;10;2200
124;1760;5;einfamilienhaus;1.19;2022;2.8;1.2;1.9;Terasse;Massivhaus;234260;50864049;31226;Bründelkampsweg ;Peine;Schwicheldt;10;2200
114;719;4;einfamilienhaus;1.19;2006;4;1.2;1.9;Terasse;Massivhaus;308000;38083411;29693;Straße nicht freigegeben;Böhme;;2;1900
270.52;759;5;einfamilienhaus;1.19;2013;6;1.2;1.9;Terasse;Massivhaus;345000;55121788;37412;Straße nicht freigegeben;Herzberg;;5;1300
113;277;4;einfamilienhaus;1;2001;1;1;1.9;Terrasse. Garten ;Massivhaus;397000;73942067;21614;Heitmannshausen 13;Buxtehude;Neukloster;10;3350
106;793;4;einfamilienhaus;1.19;1975;2.8;1.2;1.9;Terasse;Massivhaus;340000;13138034;30938;Straße nicht freigegeben;Burgwedel;Wettmar;6;3700
300;5000;6;bungalow;1.19;1975;4;1.2;1.9;Terasse;Massivhaus;1100000;68292345;30938;Straße nicht freigegeben;Burgwedel;Kleinburgwedel;6;3700
300;4400;6;bungalow;1.19;1975;4;1.2;1.9;Terasse;Massivhaus;1100000;98744503;30938;Straße nicht freigegeben;Burgwedel;Kleinburgwedel;6;3700
166;1745;6;einfamilienhaus;2;1969;3;1;1.9;Terasse;Massivhaus;465000;98662871;29579;Straße nicht freigegeben;Emmendorf;;1;1850
114;1113;3;einfamilienhaus;1.19;1964;2.8;1;1.9;Terrasse ;Massivhaus;238000;23421176;26817;Straße nicht freigegeben;Rhauderfehn;;5;2150
123;1500;5;einfamilienhaus;1.19;1963;2.8;3;1.9;Terasse;Massivhaus;179000;15152384;26817;Straße nicht freigegeben;Rhauderfehn;Rhaudermoor;5;2150
182.4;1011;7;mehrfamilienhaus;1;1959;2;1;1.9;Terrasse. Wintergarten ;Massivhaus;295000;35330540;26817;Straße nicht freigegeben;Rhauderfehn;Langholt;5;2150
89.2;1607;3;einfamilienhaus;0;1999;2;1;1.9;Terrasse ;Massivhaus;285000;19204750;26817;Straße nicht freigegeben;Rhauderfehn;Westrhauderfehn;5;2150
118.5;949;5;einfamilienhaus;0;1976;1;1;1.9;Terrasse ;Massivhaus;319000;19392909;26817;Straße nicht freigegeben;Rhauderfehn;Westrhauderfehn;5;2150
71;470;3;doppelhaushälfte;2;1953;2.8;1.2;1.9;Terasse;Massivhaus;149000;33995661;31634;Straße nicht freigegeben;Steimbke;;1;2000
244.25;781;7.5;mehrfamilienhaus;1;1972;3;2;1.9;Terrasse. Garten. Balkon ;Massivhaus;445000;90099585;29683;Straße nicht freigegeben;BadFallingbostel;;6;2050
150;833;6;einfamilienhaus;0;1992;3;1;1.9;Terrasse. Garten ;Massivhaus;296000;72983751;26632;Straße nicht freigegeben;IhlowOstfriesl;Ihlowerhörn;1;1950
424;1150;18;einfamilienhaus;2;1971;4;1;1.9;Balkon ;Massivhaus;525000;20978357;27612;Straße nicht freigegeben;Loxstedt;Bexhövede;6;1900
103;808;4.5;einfamilienhaus;1;1956;2.8;1.2;1.9;Terrasse ;Massivhaus;189000;27692460;27612;Straße nicht freigegeben;Loxstedt;;6;1900
137;737;4;einfamilienhaus;1.19;1996;3;1;1.9;Terasse;Massivhaus;298000;90413263;29699;Straße nicht freigegeben;Walsrode;Westerharl;6;2300
144.49;1760;5;einfamilienhaus;1.19;2023;2.8;1.2;1.9;Terrasse. Garten ;Massivhaus;825500;25608875;30177;Straße nicht freigegeben;Hannover;List;11;4150
110.07;1760;4;einfamilienhaus;1.19;1975;2.8;1.2;1.9;Balkon ;Massivhaus;665500;43774397;30177;Straße nicht freigegeben;Hannover;List;11;4150
132.76;1760;4;einfamilienhaus;1.19;2023;2.8;1.2;1.9;Terrasse ;Massivhaus;797500;70709925;30177;Straße nicht freigegeben;Hannover;List;11;4150
92.29;1760;3.5;einfamilienhaus;1.19;1975;2.8;1.2;1.9;Terrasse ;Massivhaus;540500;24811618;30177;Straße nicht freigegeben;Hannover;List;11;4150
133.46;1760;5;einfamilienhaus;1.19;2023;2.8;1.2;1.9;Terrasse. Garten ;Massivhaus;799500;93860738;30177;Straße nicht freigegeben;Hannover;List;11;4150
94.96;1760;3;einfamilienhaus;1.19;1975;2.8;1.2;1.9;Balkon ;Massivhaus;575500;91081129;30177;Straße nicht freigegeben;Hannover;List;11;4150
128.64;1760;4.5;einfamilienhaus;1.19;2023;2.8;1.2;1.9;Terrasse. Garten ;Massivhaus;792500;57468579;30177;Straße nicht freigegeben;Hannover;List;11;4150
195;1761;8;einfamilienhaus;2;1912;3;3;1.9;Terasse;Massivhaus;380000;46782752;21644;Straße nicht freigegeben;Sauensiek;Revenahe;2;3600
145.74;681;6;einfamilienhaus;0;1997;4;1;1.9;Terrasse ;Massivhaus;339000;21615131;26847;Straße nicht freigegeben;Detern;;1;1750
154.87;600;5;einfamilienhaus;0;1990;4;1;1.9;Terrasse. Balkon ;Massivhaus;379000;62897259;26209;Straße nicht freigegeben;Hatten;Streekermoor II;6;2850
120;188;5;einfamilienhaus;0;2015;3;1.2;2;Terrasse. Garten ;Massivhaus;369000;30598684;31157;Straße nicht freigegeben;Sarstedt;;10;2900
197.5;816;6.3;mehrfamilienhaus;1.19;1975;2.8;1.2;1.9;Terasse;Massivhaus;1070000;93323230;30625;Straße nicht freigegeben;Hannover;Heideviertel;11;4600
105;1432;4;einfamilienhaus;1.19;1900;1;1.2;1.9;Terrasse. Garten. Gartenanteil ;Massivhaus;129000;24473302;26969;Straße nicht freigegeben;Butjadingen;Tossens;0;2150
115;1300;6;einfamilienhaus;1;1960;2.8;1.2;1;Terrasse. Garten ;Massivhaus;395000;70005449;26969;Straße nicht freigegeben;Butjadingen;Ruhwarden;0;2150
102.44;494;4;einfamilienhaus;2;1961;1;1;1.9;Terasse;Massivhaus;269900;78167871;31582;Straße nicht freigegeben;Nienburg;Weser;9;2100
204;753;5;einfamilienhaus;1.19;1999;2;1;1.9;Terrasse. Balkon ;Massivhaus;477000;56224089;49439;Straße nicht freigegeben;Steinfeld;Oldenburg;6;1950
131;1577;6;einfamilienhaus;2;1960;3;3;1.9;Terrasse. Garten ;Massivhaus;199000;20716533;29303;Straße nicht freigegeben;Bergen;Sülze;1;1850
124;1760;5;einfamilienhaus;1.19;2022;2.8;1.2;1.9;Terasse;Massivhaus;241260;72856977;29303;Moorkamp ;Bergen;Eversen;1;1850
168;3167;5;einfamilienhaus;0;1997;3;1;1.9;Terasse;Massivhaus;318000;65628527;27446;Straße nicht freigegeben;Anderlingen;;1;2300
247.6;638;8;mehrfamilienhaus;1.19;1963;2.8;1.2;1.9;Terrasse. Garten. Balkon ;Massivhaus;440000;49296552;21717;Straße nicht freigegeben;Deinste;Helmste;1;3050
111;402;4;doppelhaushälfte;0;2022;2.8;1.2;1.9;Terrasse ;Massivhaus;460000;88310095;21717;Straße nicht freigegeben;Deinste;;1;3050
111;402;4;doppelhaushälfte;0;2022;2.8;1.2;1.9;Terrasse ;Massivhaus;460000;56762606;21717;Straße nicht freigegeben;Deinste;;1;3050
225;1764;7;einfamilienhaus;0;1970;2.8;0;2;Terrasse. Garten ;Massivhaus;559000;18457166;21717;Straße nicht freigegeben;Fredenbeck;;1;3050
136;610;5;einfamilienhaus;1;1993;2;1;1.9;Terrasse. Garten. Wintergarten ;Massivhaus;379000;22237685;21717;Straße nicht freigegeben;Fredenbeck;;1;3050
140;796;5;einfamilienhaus;2;1906;2.8;1.2;1.9;Terasse;Massivhaus;300000;53062881;26123;Straße nicht freigegeben;Oldenburg;Donnerschwee;10;3600
140;1760;5;doppelhaushälfte;1.19;1975;2.8;1.2;1.9;Terasse;Massivhaus;300000;85251629;26123;Straße nicht freigegeben;Oldenburg;Donnerschwee;10;3600
120.7;448;6;einfamilienhaus;1;1966;2.8;1;2;Terrasse. Garten. Balkon ;Massivhaus;465000;50199813;26121;Straße nicht freigegeben;Oldenburg;Bürgerfelde;10;3600
265;1868;8;mehrfamilienhaus;1.19;1995;4;1.2;1.9;Terasse;Massivhaus;595000;47681391;27333;Straße nicht freigegeben;Schweringen;;1;2150
188.44;2070;6;einfamilienhaus;0;1996;4;1;1.9;Terrasse. Garten ;Massivhaus;575000;42884976;27333;Straße nicht freigegeben;Bücken;Calle;1;2150
122.84;1003;3;einfamilienhaus;0;1997;4;1;1.9;Terrasse. Garten ;Massivhaus;299000;41392209;27333;Straße nicht freigegeben;Bücken;;1;2150
299;80000;7;einfamilienhaus;1.19;1927;0;2;1.9;Terrasse. Garten ;Massivhaus;599000;50635761;27333;Straße nicht freigegeben;Warpe;Helzendorf;1;2150
172;1970;7;einfamilienhaus;1.19;1953;0;1;1.9;Terasse;Massivhaus;265000;47293216;27333;Straße nicht freigegeben;Bücken;Dedendorf;1;2150
160;16248;5;einfamilienhaus;1;2008;4;1;1.9;Terrasse. Garten. Gartenanteil ;Massivhaus;449000;12919148;26487;Straße nicht freigegeben;BlombergOstfriesl;;0;1750
272;1432;6;einfamilienhaus;1.19;1970;2.8;1.2;1.9;Terasse;Massivhaus;1409000;81957172;30657;Straße nicht freigegeben;Hannover;Isernhagen-Süd;11;3650
120;600;4;doppelhaushälfte;1.19;2023;2.8;0;1.9;Terasse;Massivhaus;398000;96981487;21441;Straße nicht freigegeben;Garstedt;;2;5350
119.72;524;4;einfamilienhaus;1.19;1975;2;1;1.9;Terrasse ;Massivhaus;339000;60334188;27777;Straße nicht freigegeben;Ganderkesee;;10;2600
118;848;6.3;einfamilienhaus;1.19;1952;2.8;1.2;1.9;Terasse;Massivhaus;190000;66437149;27777;Straße nicht freigegeben;Ganderkesee;Bookholzberg;10;2600
260;2973;7;einfamilienhaus;1;1975;4;1.2;1.9;Terrasse. Garten. Gartenanteil. Gartenmitbenutzung ;Massivhaus;429000;99997893;26556;Straße nicht freigegeben;Westerholt;;0;2100
146;341;6;doppelhaushälfte;1;2003;1;1.2;1.9;Terrasse ;Massivhaus;298000;93352918;26556;Straße nicht freigegeben;Westerholt;;0;2100
166;916;6;einfamilienhaus;0;1972;2;1.2;1.9;Terrasse ;Massivhaus;378000;19591559;26556;Straße nicht freigegeben;Westerholt;;0;2100
128.72;285;4;einfamilienhaus;1.19;2022;8;1.2;1.9;Terrasse. Garten ;Massivhaus;454000;51355152;26721;Straße nicht freigegeben;Emden;Früchteburg;9;2150
