id;plz;stadt;strasse;stadtteil;preis;wohnflaeche;grundstueckflaeche;anz_zimmer;kategorie;keller;baujahr;energieeffizienz;zustand;kontextLabel;kontextWert
62120264;21727;EstorfGräpel;Straße nicht freigegeben;;149000;78.0;770.0;3.0;einfamilienhaus;0;2013;0;1;0;2000
64202897;31832;Springe;Straße nicht freigegeben;;149000;94.0;350.0;6.0;einfamilienhaus;1;1865;0;3;6;2200
59394719;31195;Lamspringe;Straße nicht freigegeben;;149000;350.05;707.05;13.0;mehrfamilienhaus;2;1915;2;1;1;1100
49954716;26529;Wirdum;Straße nicht freigegeben;;149000;85.0;152.0;3.0;einfamilienhaus;0;2019;0;1;9;2000
74263070;38685;Langelsheim;Straße nicht freigegeben;Lautenthal;149000;273.29;993.29;11.0;einfamilienhaus;2;2003;3;1;5;2350
50666200;34355;Speele;Straße nicht freigegeben;;149900;190.0;756.0;7.0;einfamilienhaus;2;1898;0;1;2;2000
38546370;26524;Halbemond;Straße nicht freigegeben;;152000;129.0;509.0;5.0;einfamilienhaus;0;1900;1;3;8;2100
47676849;26524;Halbemond;Straße nicht freigegeben;;152000;129.0;509.0;5.0;einfamilienhaus;0;1900;1;3;8;2100
20414359;26723;EmdenTwixlum;Straße nicht freigegeben;;158000;100.0;680.0;4.0;einfamilienhaus;2;1956;0;3;9;2150
88472827;38154;KönigslutteramElm;Straße nicht freigegeben;Klein Steimke;158000;270.0;1000.0;10.0;mehrfamilienhaus;2;1962;1;3;6;2550
32038057;31073;Grünenplan;Straße nicht freigegeben;;158500;180.0;800.0;8.0;einfamilienhaus;2;1924;0;3;5;1400
62964483;29479;Jameln;Straße nicht freigegeben;Breselenz;159000;135.0;1250.0;6.0;einfamilienhaus;1;1955;0;3;0;1350
74749915;26624;SüdbrookmerlandVictorbur;Straße nicht freigegeben;;159000;90.0;250.0;3.0;einfamilienhaus;0;1982;0;1;5;2000
86685845;26831;Bunde;Straße nicht freigegeben;;159000;103.49;835.0;3.0;einfamilienhaus;1;1960;0;1;1;1650
17017378;37191;KatlenburgLindau;Straße nicht freigegeben;Gillersheim;159000;142.0;1500.0;6.0;einfamilienhaus;2;1939;6;3;1;1650
30240525;38272;Burgdorf;Straße nicht freigegeben;;159000;195.0;934.0;7.0;mehrfamilienhaus;0;2001;0;3;2;2000
25050142;26736;Krummhörn;Straße nicht freigegeben;Canum;159000;66.78;1037.0;3.0;einfamilienhaus;1;1927;0;1;1;2000
93981760;26954;Nordenham;Straße nicht freigegeben;Ellwürden;159500;127.12;790.0;4.0;einfamilienhaus;1;1951;1;1;9;1750
53754431;37691;Derental;Straße nicht freigegeben;;160000;220.0;900.0;10.0;mehrfamilienhaus;0;1936;0;3;5;950
64033376;31234;EdemissenOelerse;Straße nicht freigegeben;;160000;140.0;666.0;5.0;einfamilienhaus;0;1965;1;3;2;2200
58570893;38667;BadHarzburg;Straße nicht freigegeben;;160000;106.0;221.0;5.0;doppelhaushälfte;2;1920;2;3;9;1800
52282616;27442;Gnarrenburg;Straße nicht freigegeben;;162000;85.0;480.0;3.0;einfamilienhaus;1;1936;2;1;1;1800
24978814;27449;Kutenholz;Straße nicht freigegeben;;165000;106.0;450.0;4.0;doppelhaushälfte;1;1953;0;3;1;2200
46124970;21769;Lamstedt;Straße nicht freigegeben;;165000;150.0;1100.0;5.0;einfamilienhaus;0;1938;1;3;0;2150
65204618;38379;Wolsdorf;Straße nicht freigegeben;;167000;270.0;595.0;11.0;mehrfamilienhaus;0;1904;1;1;1;1750
84859799;37181;Hardegsen;Straße nicht freigegeben;Hettensen;168000;159.0;372.0;5.0;einfamilienhaus;2;1940;0;1;1;2300
35419672;37619;Bodenwerder;Straße nicht freigegeben;Kemnade;169000;323.0;2775.0;13.0;mehrfamilienhaus;2;1954;0;3;5;1250
40023356;38678;ClausthalZellerfeld;Straße nicht freigegeben;;169000;220.28;299.28;11.0;doppelhaushälfte;2;2014;0;1;9;1200
42851009;38379;Wolsdorf;Straße nicht freigegeben;;169000;100.0;600.0;4.0;einfamilienhaus;2;1963;0;1;1;1750
51411501;27252;Schwaförden;Straße nicht freigegeben;;169000;156.0;898.0;6.0;einfamilienhaus;2;1971;1;3;1;1700
49968375;37581;BadGandersheim;Straße nicht freigegeben;Gremsheim;169000;138.18;514.0;4.0;einfamilienhaus;2;1900;4;1;5;1200
66777479;37434;Bilshausen;Straße nicht freigegeben;;169000;157.0;383.0;7.0;mehrfamilienhaus;1;1900;4;1;1;1850
22264296;38364;Schöningen;Straße nicht freigegeben;;169000;154.0;670.0;5.0;einfamilienhaus;2;1962;0;1;9;1150
94806812;21763;NeuenkirchenLandHadeln;Dorfstraße 83;;169000;90.0;781.0;4.0;einfamilienhaus;0;1900;0;3;0;1850
39156166;38678;ClausthalZellerfeld;Straße nicht freigegeben;;169000;220.08;299.08;11.0;doppelhaushälfte;2;2014;0;1;9;1200
25085754;26831;Bunde;Straße nicht freigegeben;;169000;100.0;647.0;4.0;einfamilienhaus;1;1955;0;1;1;1650
