wohnflaeche;grundstueckflaeche;zimmer;category;basement;year;efficiency_rating;condition;kontextWert;price1;price2;priceDelta
0.0;-280.0;1.0;1;-2;0;-1;2;0;159000;359000;-200000
1.78;237.0;0.5;0;-1;-68;0;-2;0;159000;125000;34000
1.78;237.0;0.5;0;-1;-68;0;-2;0;159000;125000;34000
-11.22;267.0;0.0;0;1;-86;0;0;0;159000;149000;10000
-2.88;90.0;0.0;0;1;-9;-1;0;-50;159500;299000;-139500
-1.07;-8.0;0.0;0;-1;-12;1;0;100;159500;299900;-140400
-8.88;19.0;-1.0;0;-1;-12;-1;0;-50;159500;259000;-99500
-50.0;65.0;1.0;0;-2;26;0;2;0;160000;346000;-186000
20.0;-259.0;1.0;0;-2;2;-1;3;-100;160000;179000;-19000
18.82;-5.0;3.0;0;-1;-52;-4;2;-50;160000;438000;-278000
28.83;-57.0;0.0;0;-2;0;0;2;0;160000;249000;-89000
31.07;65.0;0.0;0;-2;0;-1;3;0;160000;359000;-199000
0.0;48.0;0.0;0;-2;10;1;2;-50;160000;329717;-169717
2.6;80.0;0.0;0;-1;0;0;-2;0;162000;70000;92000
15.0;-106.0;0.0;0;-1;-15;1;0;-50;162000;125000;37000
17.0;-27.0;-1.0;0;1;36;2;0;0;162000;79000;83000
26.0;-11.0;0.0;0;-1;-10;-1;2;0;165000;249000;-84000
26.0;-11.0;0.0;0;-1;-10;-1;2;0;165000;249000;-84000
10.63;32.0;-1.0;0;-1;-18;-1;2;0;165000;298500;-133500
24.57;25.0;2.0;0;-1;-6;1;0;100;167000;299000;-132000
-6.0;-239.0;0.0;1;-1;-26;0;0;50;167000;375000;-208000
105.0;55.0;5.0;0;-2;-1;-1;0;0;167000;329000;-162000
19.0;-103.0;-1.0;0;1;-13;0;-2;0;168000;199000;-31000
-0.5;-79.0;-2.0;0;0;-20;-1;1;0;168000;399000;-231000
-0.5;-79.0;-2.0;0;0;-20;-1;1;0;168000;449000;-281000
-22.0;120.0;2.0;1;0;34;-4;3;0;169000;570000;-401000
105.0;10.0;6.0;1;0;3;-1;0;-100;169000;269000;-100000
23.0;2390.0;1.0;0;0;50;0;1;0;169000;249000;-80000
0.0;-47.0;0.0;0;1;8;0;0;100;169000;169000;0
-2.0;-232.0;-2.0;0;0;3;0;0;0;169000;85000;84000
5.0;-16.0;-2.0;0;0;-11;-2;0;-50;169000;350000;-181000
-4.34;44.0;-2.0;1;1;-1;0;0;0;169000;299000;-130000
13.01;228.0;0.0;0;2;-1;0;2;0;169000;268000;-99000
13.01;228.0;0.0;0;2;-1;0;2;0;169000;299900;-130900
-11.82;231.0;-1.0;0;0;0;3;-2;0;169000;113875;55125
-11.82;231.0;-1.0;0;0;0;3;-2;0;169000;113875;55125
8.18;-94.0;0.0;0;0;-78;1;0;50;169000;347000;-178000
12.0;-17.0;1.0;1;-1;0;1;-2;50;169000;120000;49000
10.2;-320.0;0.0;1;-1;0;4;0;0;169000;140000;29000
2.0;-37.0;1.0;0;-1;-63;4;1;0;169000;330000;-161000
0.0;0.0;0.0;0;0;0;0;0;0;169000;199000;-30000
24.0;62.0;1.0;0;0;-16;-3;0;0;169000;347000;-178000
-43.0;112.0;0.0;0;2;5;-2;0;0;169000;199000;-30000
22.0;274.0;0.0;0;0;0;0;2;50;169000;79000;90000
-25.75;-51.0;0.0;0;-2;-57;0;2;0;169000;250000;-81000
-56.8;78.0;-3.0;0;-2;0;0;2;0;169000;140000;29000
-3.49;-188.0;1.0;0;0;-5;0;0;0;169000;159000;10000
0.0;47.0;0.0;0;-1;-8;0;0;-100;169000;169000;0
-28.19;-151.0;0.0;0;-1;-8;0;0;0;169000;299900;-130900
10.0;-170.0;1.0;1;0;-5;0;-1;0;169000;235000;-66000
-0.72;-40.0;1.0;1;1;-12;-1;-1;-50;169000;298000;-129000
-0.72;-40.0;1.0;1;1;-12;-1;-1;-50;169000;259000;-90000
29.0;-422.0;2.0;1;1;9;0;-2;0;169000;174900;-5900
-218.12;26.0;-5.0;0;0;-9;-3;0;-50;169000;370000;-201000
-121.0;-257.0;-5.0;0;0;1;-5;0;-50;169000;258000;-89000
-0.07;-0.07;0.0;0;0;0;0;0;0;170000;170000;0
-14.28;-144.0;0.0;0;1;3;0;0;0;170000;247000;-77000
-8.28;129.0;1.0;0;0;-2;0;2;0;170000;269000;-99000
0.0;-2489.0;0.0;0;0;0;0;0;0;170000;170000;0
3.0;10508.0;4.0;0;0;-12;-1;3;-50;170000;225000;-55000
-14.0;11335.0;0.0;0;-1;-13;0;0;-100;170000;149000;21000
0.07;0.07;0.0;0;0;0;0;0;0;170000;170000;0
-14.21;-143.93;0.0;0;1;3;0;0;0;170000;247000;-77000
-8.21;129.07;1.0;0;0;-2;0;2;0;170000;269000;-99000
0.0;2489.0;0.0;0;0;0;0;0;0;170000;170000;0
-58.0;174.0;1.0;0;-1;-103;0;0;-50;170000;320000;-150000
3.0;12997.0;4.0;0;0;-12;-1;3;-50;170000;225000;-55000
-16.0;-11.0;1.0;0;-1;4;-1;2;-100;171000;249000;-78000
8.0;-112.0;2.0;0;-1;16;0;0;-50;171000;136000;35000
0.0;-62.0;3.0;1;1;-6;0;2;100;171000;425000;-254000
-7.28;183.0;0.0;1;0;-74;0;2;-50;172000;215000;-43000
36.83;20.0;0.0;0;0;-80;-2;2;-50;172000;259000;-87000
-6.45;-846.0;-1.0;0;2;0;-1;2;0;172000;198000;-26000
-15.1;198.0;0.5;0;-2;-100;1;2;50;172500;379000;-206500
-50.1;37.0;-1.0;0;-2;-61;1;2;-50;172500;225000;-52500
1.9;981.0;-1.0;0;-2;-135;1;0;0;172500;174000;-1500
-14.0;-229.0;0.0;0;0;52;0;0;0;174000;136000;38000
14.79;250.0;2.0;0;2;3;-5;2;0;174000;300000;-126000
4.0;-3.0;2.0;0;0;-8;-7;2;-150;174000;289000;-115000
-27.0;-123.0;-1.0;0;-2;-188;0;0;50;174000;89000;85000
-85.0;33.0;0.0;0;-2;-180;-1;0;0;174000;135000;39000
-122.0;-73.0;0.0;0;0;-207;-2;2;0;174000;199000;-25000
0.0;0.0;0.0;0;0;0;0;0;0;174000;149000;25000
13.0;-30.0;0.5;0;-2;18;0;-2;0;174000;125000;49000
13.0;-30.0;0.5;0;-2;18;0;-2;0;174000;125000;49000
-29.0;422.0;-2.0;1;-1;-9;0;2;0;174900;169000;5900
6.0;94.0;-1.0;0;-1;-43;-1;0;-250;174900;185000;-10100
-33.0;110.0;-3.0;1;0;105;0;0;-150;174900;80000;94900
-2.0;-117.0;3.0;0;0;-10;-2;0;50;175000;329000;-154000
-20.0;26.0;1.0;1;0;14;-1;0;-50;175000;230000;-55000
16.97;-133.03;2.0;0;0;7;0;0;-50;175000;196000;-21000
-1.0;-74.0;0.0;0;1;-4;1;0;0;175000;199800;-24800
-20.0;-9.0;0.0;0;0;2;1;0;0;175000;280000;-105000
-0.76;74.0;1.0;0;0;1;2;-2;0;175000;230000;-55000
8.0;-154.0;0.0;0;-1;30;-1;0;-50;175000;279000;-104000
9.0;69.0;1.0;0;-1;-40;-3;0;50;175000;199000;-24000
-13.07;246.0;0.0;0;0;-76;0;0;-50;175000;209000;-34000
2.0;156.0;-1.0;0;-2;-12;0;0;-50;175000;258000;-83000
-16.0;-14.0;-1.0;0;-2;-4;-3;0;-100;175000;199000;-24000
-20.0;-243.0;1.0;0;-2;-2;-1;2;-50;175000;499000;-324000
-0.47;-222.0;0.0;1;1;8;0;-2;-50;175000;159000;16000
-29.47;-47.0;1.0;1;1;-11;-3;0;0;175000;349000;-174000
-68.91;128.0;0.0;0;0;-4;0;0;0;175000;229000;-54000
-2.0;-44.0;0.0;0;0;-4;-1;0;0;177000;99000;78000
-3.58;-27.0;0.0;0;0;-3;1;0;100;177000;275000;-98000
-17.75;68.0;0.0;0;0;8;1;2;50;177000;250000;-73000
0.2;0.2;0.0;0;0;0;0;0;0;178000;198000;-20000
-8.8;52.2;-1.0;1;-2;-3;0;0;0;178000;245000;-67000
-8.8;52.2;-1.0;1;-2;-3;0;0;0;178000;245000;-67000
3.0;25.0;-2.0;0;-1;-16;-2;2;0;179000;230000;-51000
48.0;46.0;1.0;0;-1;-14;0;0;0;179000;136000;43000
18.0;-225.0;0.0;0;-1;0;-6;0;-50;179000;159000;20000
1.0;47.0;2.0;0;1;6;0;-2;0;179000;329000;-150000
22.0;-27.0;3.0;1;1;-3;0;0;0;179000;299000;-120000
2.0;-31.0;1.0;1;1;-10;-1;0;-100;179000;333000;-154000
18.0;-88.0;6.0;0;0;0;1;-3;-100;179000;89000;90000
-21.35;-13.0;6.0;0;0;-30;1;-3;-50;179000;120000;59000
