wohnflaeche;grundstueckflaeche;zimmer;category;basement;year;efficiency_rating;condition;price;id;plz;street;city;district;kontextlabel;kontextWert
85.0;152.0;3.0;einfamilienhaus;0;2019;0;1;149000;49954716;26529;Straße nicht freigegeben;Wirdum;;9;2000
273.29;993.29;11.0;einfamilienhaus;2;2003;3;1;149000;74263070;38685;Straße nicht freigegeben;Langelsheim;Lautenthal;5;2350
190.0;756.0;7.0;einfamilienhaus;2;1898;0;1;149900;50666200;34355;Straße nicht freigegeben;Speele;;2;2000
129.0;509.0;5.0;einfamilienhaus;0;1900;1;3;152000;38546370;26524;Straße nicht freigegeben;Halbemond;;8;2100
129.0;509.0;5.0;einfamilienhaus;0;1900;1;3;152000;47676849;26524;Straße nicht freigegeben;Halbemond;;8;2100
100.0;680.0;4.0;einfamilienhaus;2;1956;0;3;158000;20414359;26723;Straße nicht freigegeben;EmdenTwixlum;;9;2150
270.0;1000.0;10.0;mehrfamilienhaus;2;1962;1;3;158000;88472827;38154;Straße nicht freigegeben;KönigslutteramElm;Klein Steimke;6;2550
180.0;800.0;8.0;einfamilienhaus;2;1924;0;3;158500;32038057;31073;Straße nicht freigegeben;Grünenplan;;5;1400
135.0;1250.0;6.0;einfamilienhaus;1;1955;0;3;159000;62964483;29479;Straße nicht freigegeben;Jameln;Breselenz;0;1350
90.0;250.0;3.0;einfamilienhaus;0;1982;0;1;159000;74749915;26624;Straße nicht freigegeben;SüdbrookmerlandVictorbur;;5;2000
103.49;835.0;3.0;einfamilienhaus;1;1960;0;1;159000;86685845;26831;Straße nicht freigegeben;Bunde;;1;1650
142.0;1500.0;6.0;einfamilienhaus;2;1939;6;3;159000;17017378;37191;Straße nicht freigegeben;KatlenburgLindau;Gillersheim;1;1650
195.0;934.0;7.0;mehrfamilienhaus;0;2001;0;3;159000;30240525;38272;Straße nicht freigegeben;Burgdorf;;2;2000
66.78;1037.0;3.0;einfamilienhaus;1;1927;0;1;159000;25050142;26736;Straße nicht freigegeben;Krummhörn;Canum;1;2000
127.12;790.0;4.0;einfamilienhaus;1;1951;1;1;159500;93981760;26954;Straße nicht freigegeben;Nordenham;Ellwürden;9;1750
220.0;900.0;10.0;mehrfamilienhaus;0;1936;0;3;160000;53754431;37691;Straße nicht freigegeben;Derental;;5;950
140.0;666.0;5.0;einfamilienhaus;0;1965;1;3;160000;64033376;31234;Straße nicht freigegeben;EdemissenOelerse;;2;2200
106.0;221.0;5.0;doppelhaushälfte;2;1920;2;3;160000;58570893;38667;Straße nicht freigegeben;BadHarzburg;;9;1800
85.0;480.0;3.0;einfamilienhaus;1;1936;2;1;162000;52282616;27442;Straße nicht freigegeben;Gnarrenburg;;1;1800
106.0;450.0;4.0;doppelhaushälfte;1;1953;0;3;165000;24978814;27449;Straße nicht freigegeben;Kutenholz;;1;2200
150.0;1100.0;5.0;einfamilienhaus;0;1938;1;3;165000;46124970;21769;Straße nicht freigegeben;Lamstedt;;0;2150
270.0;595.0;11.0;mehrfamilienhaus;0;1904;1;1;167000;65204618;38379;Straße nicht freigegeben;Wolsdorf;;1;1750
159.0;372.0;5.0;einfamilienhaus;2;1940;0;1;168000;84859799;37181;Straße nicht freigegeben;Hardegsen;Hettensen;1;2300
323.0;2775.0;13.0;mehrfamilienhaus;2;1954;0;3;169000;35419672;37619;Straße nicht freigegeben;Bodenwerder;Kemnade;5;1250
220.28;299.28;11.0;doppelhaushälfte;2;2014;0;1;169000;40023356;38678;Straße nicht freigegeben;ClausthalZellerfeld;;9;1200
